problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,behavioral_diversity,unique_behavioral_diversity,num_taxa,total_orgs,ave_depth,num_roots,mrca_depth,diversity,mrca_changes,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,current_phylogenetic_diversity,tree_size,num_sparse_taxa,mean_sparse_pairwise_distances,sum_sparse_pairwise_distances,variance_sparse_pairwise_distances
smallest,full,100,0_00000,True,False,-1,300,100,100,True,0,0,351100,smallest/full/100/0_00000/351100/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,300,299,100,100,True,-1,1,351101,smallest/full/100/0_00000/351101/,5.33885,209.0,1862,2000,261.838,1,128,10.8203,7,4.43995,0.687996,21.8333,6.3785,217.718,1,286,6767.14,6188,6189,2465,19,33537920,21
smallest,full,100,0_00000,True,False,-1,300,96,96,False,-1,2,351102,smallest/full/100/0_00000/351102/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,212,211,100,100,True,-1,3,351103,smallest/full/100/0_00000/351103/,5.12772,255.0,1956,2000,197.106,1,112,10.9222,6,3.67532,0.982461,24.8533,3.14763,155.938,1,182,1432.72,6044,6045,2601,16,32085100,11
smallest,full,100,0_00000,False,True,109,108,100,100,True,-1,4,351104,smallest/full/100/0_00000/351104/,5.81449,321.0,1968,2000,105.457,1,104,10.914,6,1.41644,0,2,0.266066,2.94275,1,4,0.501931,2071,2072,1968,2,5695784,0
smallest,full,100,0_00000,False,True,25,24,94,94,True,-1,5,351105,smallest/full/100/0_00000/351105/,3.11664,88.0,1930,2000,24.379,1,10,10.7511,2,1.90205,0.009565,6.33333,0.972776,5.9689,1,29,18.5027,2577,2578,2168,4,8429315,3
smallest,full,100,0_00000,False,True,158,157,94,94,True,-1,6,351106,smallest/full/100/0_00000/351106/,6.5617,319.0,1981,2000,151.166,1,76,10.9234,4,2.96007,0.05702,25.9053,5.98881,53.9415,1,148,1119.69,4776,4777,2580,12,24870316,45
smallest,full,100,0_00000,False,True,276,275,100,100,True,-1,7,351107,smallest/full/100/0_00000/351107/,6.03493,361.0,1946,2000,257.39,1,200,10.9104,7,3.31281,0.69237,29.0697,3.0377,105.594,1,126,627.407,5251,5252,2540,16,30404946,14
smallest,full,100,0_00000,True,False,-1,300,98,98,False,-1,8,351108,smallest/full/100/0_00000/351108/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,95,95,False,-1,9,351109,smallest/full/100/0_00000/351109/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,253,252,98,98,True,-1,10,351110,smallest/full/100/0_00000/351110/,6.95352,388.0,1915,2000,231.905,1,171,10.7044,6,3.26582,0.0578907,37.0203,9.12284,69.172,1,124,1847.38,5007,5008,2480,11,21165422,40
smallest,full,100,0_00000,False,True,184,183,100,100,True,-1,11,351111,smallest/full/100/0_00000/351111/,4.42083,252.0,1968,2000,179.325,1,176,10.9342,8,1.7934,0.25,4,0.483183,6.64862,1,8,0.833289,2857,2858,2337,5,10820984,1
smallest,full,100,0_00000,True,False,-1,300,99,99,False,-1,12,351112,smallest/full/100/0_00000/351112/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,100,100,True,0,13,351113,smallest/full/100/0_00000/351113/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,100,100,True,0,14,351114,smallest/full/100/0_00000/351114/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,283,282,100,100,True,-1,15,351115,smallest/full/100/0_00000/351115/,5.82186,321.0,1932,2000,258.322,1,223,10.8967,5,3.05583,0.694385,38.0013,2.88475,67.2269,1,78,125.564,4949,4950,2549,16,30532142,12
smallest,full,100,0_00000,False,True,240,239,100,100,True,-1,16,351116,smallest/full/100/0_00000/351116/,4.40645,264.0,1962,2000,222.136,1,167,10.9282,6,3.30662,0.865694,17.4923,2.56498,104.479,1,120,394.738,5566,5567,2587,15,30256890,11
smallest,full,100,0_00000,False,True,166,165,100,100,True,-1,17,351117,smallest/full/100/0_00000/351117/,4.85332,240.0,1959,2000,161.46,1,160,10.905,5,1.39047,0,2,0.249125,2.95458,1,4,0.502621,2118,2119,1959,2,5666474,0
smallest,full,100,0_00000,False,True,142,141,100,100,True,-1,18,351118,smallest/full/100/0_00000/351118/,3.84328,166.0,1981,2000,141.412,1,139,10.9476,3,1.61689,0.230769,3,0.36432,4.82584,1,6,0.612823,2550,2551,2261,4,8898582,0
smallest,full,100,0_00000,False,True,113,112,100,100,True,-1,19,351119,smallest/full/100/0_00000/351119/,3.24449,158.0,1968,2000,108.703,1,93,10.9331,5,2.76059,0.702525,17,2.01441,31.0348,1,34,9.26919,4595,4596,2599,10,20634358,4
smallest,full,100,0_00000,False,True,281,280,100,100,True,-1,20,351120,smallest/full/100/0_00000/351120/,5.26229,345.0,1950,2000,262.315,1,230,10.9166,5,2.90715,0.732152,28.0632,2.06597,62.5609,1,72,88.167,4683,4684,2517,13,25897081,7
smallest,full,100,0_00000,False,True,168,167,98,98,True,-1,21,351121,smallest/full/100/0_00000/351121/,5.28097,248.0,1970,2000,162.538,1,37,10.892,5,3.40326,0.0936338,37.1143,8.8916,105.583,1,254,8945.61,5473,5474,2595,11,21344599,37
smallest,full,100,0_00000,False,True,59,58,100,100,True,-1,22,351122,smallest/full/100/0_00000/351122/,2.87723,126.0,1952,2000,56.966,1,49,10.9182,5,2.29194,0.364042,8.00177,1.01107,15.2051,1,18,3.03671,3539,3540,2485,9,17572991,3
smallest,full,100,0_00000,True,False,-1,300,100,100,True,3,23,351123,smallest/full/100/0_00000/351123/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,152,151,97,97,True,-1,24,351124,smallest/full/100/0_00000/351124/,4.24998,233.0,1960,2000,145.877,1,42,10.8983,3,2.9251,0.061694,88.0116,20.7382,35.4531,1,213,3374.32,4663,4664,2192,6,11927608,29
smallest,full,100,0_00000,True,False,-1,300,100,100,True,0,25,351125,smallest/full/100/0_00000/351125/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,190,189,100,100,True,-1,26,351126,smallest/full/100/0_00000/351126/,4.9092,294.0,1898,2000,160.488,1,140,10.8602,5,2.86995,0.462693,19.769,1.78945,39.9651,1,51,37.2884,3807,3808,2385,12,22407184,7
smallest,full,100,0_00000,False,True,94,93,99,99,True,-1,27,351127,smallest/full/100/0_00000/351127/,4.05797,156.0,1895,2000,87.32,1,23,10.7512,2,2.17902,0.0381791,55.3355,10.2968,10.1384,1,125,459.529,3061,3062,2003,4,7381786,7
smallest,full,100,0_00000,True,False,-1,300,100,100,True,1,28,351128,smallest/full/100/0_00000/351128/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,94,94,False,-1,29,351129,smallest/full/100/0_00000/351129/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,79,79,False,-1,30,351130,smallest/full/100/0_00000/351130/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,50,49,88,88,True,-1,31,351131,smallest/full/100/0_00000/351131/,4.04154,134.0,1969,2000,48.3985,1,36,10.9047,3,1.84781,0.00929813,6.01827,1.19726,12.3748,1,25,107.927,2641,2642,2161,4,9442574,7
smallest,full,100,0_00000,True,False,-1,300,89,89,False,-1,32,351132,smallest/full/100/0_00000/351132/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,228,227,100,100,True,-1,33,351133,smallest/full/100/0_00000/351133/,5.05863,279.0,1973,2000,219.129,1,212,10.9396,8,2.09245,0.416306,8,0.722035,14.1787,1,16,1.89972,3454,3455,2470,8,15693112,2
smallest,full,100,0_00000,False,True,172,171,95,95,True,-1,34,351134,smallest/full/100/0_00000/351134/,5.58261,257.0,1955,2000,161.51,1,56,10.861,3,3.35102,0.0794086,56.9764,17.8268,88.2874,1,219,7208.62,5257,5258,2374,9,18630964,42
smallest,full,100,0_00000,False,True,269,268,100,100,True,-1,35,351135,smallest/full/100/0_00000/351135/,7.86778,490.0,1949,2000,252.312,1,207,10.9141,7,3.03971,0.866274,37.1019,2.26546,86.0319,1,98,241.477,5008,5009,2543,15,28706406,8
smallest,full,100,0_00000,False,True,134,133,100,100,True,-1,36,351136,smallest/full/100/0_00000/351136/,7.15524,381.0,1983,2000,127.255,1,74,10.9496,4,3.22053,0.826588,47.0256,3.59032,98.6672,1,112,393.593,5571,5572,2658,17,33696968,15
smallest,full,100,0_00000,True,False,-1,300,100,100,True,1,37,351137,smallest/full/100/0_00000/351137/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,99,99,False,-1,38,351138,smallest/full/100/0_00000/351138/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,True,False,-1,300,100,100,True,1,39,351139,smallest/full/100/0_00000/351139/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
smallest,full,100,0_00000,False,True,126,125,94,94,True,-1,40,351140,smallest/full/100/0_00000/351140/,6.13071,290.0,1983,2000,120.387,1,25,10.9413,4,2.66569,0.063439,30.5913,6.59055,45.8003,1,196,2547.8,4097,4098,2402,9,19400240,40
smallest,full,100,0_00000,True,False,-1,300,97,97,False,-1,41,351141,smallest/full/100/0_00000/351141/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
