problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory
smallest,cohort,100,0_00000,False,True,135,134,100,100,True,-1,0,138100,smallest/cohort/100/0_00000/138100/
smallest,cohort,100,0_00000,False,True,151,150,97,97,True,-1,1,138101,smallest/cohort/100/0_00000/138101/
smallest,cohort,100,0_00000,False,True,167,166,99,99,True,-1,2,138102,smallest/cohort/100/0_00000/138102/
smallest,cohort,100,0_00000,False,True,63,62,100,100,True,-1,3,138103,smallest/cohort/100/0_00000/138103/
smallest,cohort,100,0_00000,True,False,-1,300,93,93,False,-1,4,138104,smallest/cohort/100/0_00000/138104/
smallest,cohort,100,0_00000,False,True,142,141,99,99,True,-1,5,138105,smallest/cohort/100/0_00000/138105/
smallest,cohort,100,0_00000,False,True,188,187,100,100,True,-1,6,138106,smallest/cohort/100/0_00000/138106/
smallest,cohort,100,0_00000,True,False,-1,300,100,100,True,2,7,138107,smallest/cohort/100/0_00000/138107/
smallest,cohort,100,0_00000,False,True,62,61,88,88,True,-1,8,138108,smallest/cohort/100/0_00000/138108/
smallest,cohort,100,0_00000,False,True,210,209,100,100,True,-1,9,138109,smallest/cohort/100/0_00000/138109/
smallest,cohort,100,0_00000,False,True,18,17,100,100,True,-1,10,138110,smallest/cohort/100/0_00000/138110/
smallest,cohort,100,0_00000,False,True,34,33,100,100,True,-1,11,138111,smallest/cohort/100/0_00000/138111/
smallest,cohort,100,0_00000,True,False,-1,300,98,98,False,-1,12,138112,smallest/cohort/100/0_00000/138112/
smallest,cohort,100,0_00000,False,True,137,136,100,100,True,-1,13,138113,smallest/cohort/100/0_00000/138113/
smallest,cohort,100,0_00000,True,False,-1,300,96,96,False,-1,14,138114,smallest/cohort/100/0_00000/138114/
smallest,cohort,100,0_00000,False,True,28,27,100,100,True,-1,15,138115,smallest/cohort/100/0_00000/138115/
smallest,cohort,100,0_00000,True,False,-1,300,100,100,True,0,16,138116,smallest/cohort/100/0_00000/138116/
smallest,cohort,100,0_00000,True,False,-1,300,97,97,False,-1,17,138117,smallest/cohort/100/0_00000/138117/
