problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,replicate_id,seed,directory
smallest,cohort,100,0_00000,False,True,135,134,100,100,0,138100,smallest/cohort/100/0_00000/138100/
smallest,cohort,100,0_00000,False,True,151,150,97,97,1,138101,smallest/cohort/100/0_00000/138101/
smallest,cohort,100,0_00000,False,True,167,166,99,99,2,138102,smallest/cohort/100/0_00000/138102/
smallest,cohort,100,0_00000,False,True,63,62,100,100,3,138103,smallest/cohort/100/0_00000/138103/
smallest,cohort,100,0_00000,True,False,-1,300,93,93,4,138104,smallest/cohort/100/0_00000/138104/
smallest,cohort,100,0_00000,False,True,142,141,99,99,5,138105,smallest/cohort/100/0_00000/138105/
smallest,cohort,100,0_00000,False,True,188,187,100,100,6,138106,smallest/cohort/100/0_00000/138106/
smallest,cohort,100,0_00000,True,False,-1,300,100,100,7,138107,smallest/cohort/100/0_00000/138107/
smallest,cohort,100,0_00000,False,True,62,61,88,88,8,138108,smallest/cohort/100/0_00000/138108/
smallest,cohort,100,0_00000,False,True,210,209,100,100,9,138109,smallest/cohort/100/0_00000/138109/
smallest,cohort,100,0_00000,False,True,18,17,100,100,10,138110,smallest/cohort/100/0_00000/138110/
smallest,cohort,100,0_00000,False,True,34,33,100,100,11,138111,smallest/cohort/100/0_00000/138111/
smallest,cohort,100,0_00000,True,False,-1,300,98,98,12,138112,smallest/cohort/100/0_00000/138112/
smallest,cohort,100,0_00000,False,True,137,136,100,100,13,138113,smallest/cohort/100/0_00000/138113/
smallest,cohort,100,0_00000,True,False,-1,300,96,96,14,138114,smallest/cohort/100/0_00000/138114/
smallest,cohort,100,0_00000,False,True,28,27,100,100,15,138115,smallest/cohort/100/0_00000/138115/
smallest,cohort,100,0_00000,True,False,-1,300,100,100,16,138116,smallest/cohort/100/0_00000/138116/
smallest,cohort,100,0_00000,True,False,-1,300,97,97,17,138117,smallest/cohort/100/0_00000/138117/
smallest,cohort,100,0_00000,False,True,170,169,100,100,18,138118,smallest/cohort/100/0_00000/138118/
smallest,cohort,100,0_00000,False,True,70,69,100,100,19,138119,smallest/cohort/100/0_00000/138119/
smallest,cohort,100,0_00000,False,True,113,112,94,94,20,138120,smallest/cohort/100/0_00000/138120/
smallest,cohort,100,0_00000,False,True,137,136,98,98,21,138121,smallest/cohort/100/0_00000/138121/
smallest,cohort,100,0_00000,False,True,143,142,100,100,22,138122,smallest/cohort/100/0_00000/138122/
smallest,cohort,100,0_00000,True,False,-1,300,100,100,23,138123,smallest/cohort/100/0_00000/138123/
smallest,cohort,100,0_00000,False,True,171,170,100,100,24,138124,smallest/cohort/100/0_00000/138124/
smallest,cohort,100,0_00000,False,True,76,75,95,95,25,138125,smallest/cohort/100/0_00000/138125/
smallest,cohort,100,0_00000,True,False,-1,300,98,98,26,138126,smallest/cohort/100/0_00000/138126/
smallest,cohort,100,0_00000,False,True,118,117,94,94,27,138127,smallest/cohort/100/0_00000/138127/
